
"SYSDATE","INST_ID","MACHINE","PGA_USED_MEM_MB","PGA_ALLOC_MEM_MB"
"27/04/2021",1,"corework1",1251,5894
"27/04/2021",1,"coresup2dbadm01.om.dsn.inet",1502,2059
"27/04/2021",2,"coresup2dbadm02.om.dsn.inet",1692,2190
"28/04/2021",1,"coreradius1",3,5
"28/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"28/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"28/04/2021",2,"coresup2dbadm01.om.dsn.inet",5,53
"28/04/2021",1,"PC-519403",6,9
"28/04/2021",1,"WORKGROUP\FJM-LENOVO",6,7
"28/04/2021",1,"portalweb1",10,15
"28/04/2021",2,"coresupoem",15,17
"28/04/2021",1,"portalapi1",17,20
"28/04/2021",2,"portalweb1",28,46
"28/04/2021",2,"portalapi1",30,37
"28/04/2021",1,"coresupoem",34,42
"28/04/2021",1,"corerec4",39,50
"28/04/2021",2,"portalweb2",40,66
"28/04/2021",1,"smshr2",41,56
"28/04/2021",1,"corerec5",42,54
"28/04/2021",2,"portalapi2",45,53
"28/04/2021",1,"smshr1",59,79
"28/04/2021",2,"opsm2m11.ah-internode.dsn.inet",61,68
"28/04/2021",1,"opsm2m11.ah-internode.dsn.inet",62,68
"28/04/2021",1,"confluence1",63,70
"28/04/2021",2,"confluence1",64,70
"28/04/2021",2,"radiusbr04",70,81
"28/04/2021",2,"coreevents2",76,85
"28/04/2021",1,"coreevents1",79,88
"28/04/2021",2,"coreserv1",82,94
"28/04/2021",2,"coreevents1",83,93
"28/04/2021",2,"corerec1",85,104
"28/04/2021",2,"corerec3",85,102
"28/04/2021",1,"coreevents2",87,100
"28/04/2021",2,"smshr1",88,104
"28/04/2021",2,"corerec2",90,106
"28/04/2021",1,"corerec3",93,119
"28/04/2021",1,"corerec2",106,129
"28/04/2021",2,"smshr2",110,133
"28/04/2021",1,"corerec1",116,148
"28/04/2021",1,"coreradius2",134,167
"28/04/2021",2,"corerec4",136,160
"28/04/2021",2,"corework1",153,210
"28/04/2021",2,"corerec5",178,218
"28/04/2021",2,"coreradius4",223,281
"28/04/2021",2,"coreradius3",239,302
"28/04/2021",1,"radiusbr01",240,293
"28/04/2021",2,"radiusbr05",243,297
"28/04/2021",1,"coreradius4",243,304
"28/04/2021",1,"coreradius3",245,306
"28/04/2021",2,"corediam11",249,265
"28/04/2021",1,"radiusbr02",259,315
"28/04/2021",2,"radiusbr02",275,333
"28/04/2021",1,"coreradius5",281,352
"28/04/2021",1,"radiusbr03",285,343
"28/04/2021",2,"coreradius5",288,367
"28/04/2021",2,"radiusbr03",289,348
"28/04/2021",2,"radiusbr01",292,356
"28/04/2021",1,"coreserv1",302,345
"28/04/2021",1,"radiusbr05",310,369
"28/04/2021",1,"corediam13",316,340
"28/04/2021",2,"coreradius2",370,467
"28/04/2021",1,"corediam4",458,491
"28/04/2021",2,"corediam6",478,511
"28/04/2021",2,"corediam5",479,511
"28/04/2021",2,"corework2",483,9264
"28/04/2021",2,"coreradius1",495,623
"28/04/2021",1,"corework2",500,646
"28/04/2021",1,"radiusbr04",515,627
"28/04/2021",1,"corediam5",528,567
"28/04/2021",1,"corediam6",528,568
"28/04/2021",2,"corediam4",542,579
"28/04/2021",2,"coreserv3",579,613
"28/04/2021",1,"corework3",582,791
"28/04/2021",2,"coreserv2",600,648
"28/04/2021",2,"corediam13",669,713
"28/04/2021",2,"corework3",671,4874
"28/04/2021",1,"corediam11",781,841
"28/04/2021",2,"diamsp12",943,1299
"28/04/2021",2,"diamsp11",945,1302
"28/04/2021",2,"corediam16",945,1013
"28/04/2021",2,"diamsp03",946,1307
"28/04/2021",2,"corediam15",951,1015
"28/04/2021",2,"corediam12",953,1021
"28/04/2021",2,"corediam3",956,1022
"28/04/2021",1,"diamsp02",1048,1399
"28/04/2021",1,"diamsp13",1048,1399
"28/04/2021",1,"diamsp01",1050,1402
"28/04/2021",1,"corediam14",1053,1134
"28/04/2021",1,"corediam2",1055,1138
"28/04/2021",1,"corediam1",1056,1141
"28/04/2021",1,"coresup2dbadm01.om.dsn.inet",1709,2382
"28/04/2021",2,"coresup2dbadm02.om.dsn.inet",2019,2661
"28/04/2021",1,"corework1",2667,11727
"29/04/2021",1,"corediam16",3,4
"29/04/2021",2,"portalapi1",3,3
"29/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"29/04/2021",1,"PC-519403",5,6
"29/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"29/04/2021",2,"coresupoem",7,8
"29/04/2021",2,"coresup2dbadm01.om.dsn.inet",8,46
"29/04/2021",1,"portalweb2",8,10
"29/04/2021",1,"radiusbr05",8,9
"29/04/2021",1,"coreserv1",10,12
"29/04/2021",1,"coreevents1",14,15
"29/04/2021",2,"portalweb2",14,19
"29/04/2021",1,"portalweb1",18,24
"29/04/2021",2,"corerec3",19,22
"29/04/2021",2,"portalapi2",21,23
"29/04/2021",2,"opsm2m11.ah-internode.dsn.inet",21,24
"29/04/2021",2,"corerec4",23,27
"29/04/2021",2,"portalweb1",24,35
"29/04/2021",1,"opsm2m11.ah-internode.dsn.inet",24,27
"29/04/2021",1,"corediam15",25,27
"29/04/2021",1,"portalapi2",28,31
"29/04/2021",1,"coresupoem",29,35
"29/04/2021",1,"corerec1",32,38
"29/04/2021",1,"smshr2",41,56
"29/04/2021",1,"portalapi1",46,51
"29/04/2021",2,"coreradius3",50,64
"29/04/2021",1,"corediam14",53,57
"29/04/2021",2,"confluence1",55,61
"29/04/2021",1,"smshr1",62,84
"29/04/2021",1,"coreevents2",69,76
"29/04/2021",1,"corerec2",70,89
"29/04/2021",1,"confluence1",74,82
"29/04/2021",1,"coreserv3",87,99
"29/04/2021",2,"coreradius4",90,118
"29/04/2021",2,"corerec2",92,107
"29/04/2021",2,"smshr1",101,118
"29/04/2021",2,"smshr2",110,133
"29/04/2021",2,"radiusbr04",119,136
"29/04/2021",2,"coreserv3",123,135
"29/04/2021",2,"corerec1",126,148
"29/04/2021",2,"coreevents2",134,148
"29/04/2021",1,"corerec4",137,155
"29/04/2021",2,"diamsp13",140,193
"29/04/2021",1,"corerec3",141,163
"29/04/2021",2,"corerec5",146,167
"29/04/2021",2,"coreevents1",179,197
"29/04/2021",2,"radiusbr01",190,214
"29/04/2021",1,"radiusbr02",193,215
"29/04/2021",1,"coreradius1",208,263
"29/04/2021",2,"corediam12",211,226
"29/04/2021",2,"diamsp12",213,294
"29/04/2021",1,"coreserv2",216,264
"29/04/2021",2,"corediam13",217,233
"29/04/2021",2,"radiusbr02",236,267
"29/04/2021",1,"corediam5",244,263
"29/04/2021",1,"radiusbr01",250,279
"29/04/2021",2,"corediam3",265,288
"29/04/2021",1,"corediam11",271,292
"29/04/2021",1,"corediam4",275,298
"29/04/2021",1,"diamsp11",284,377
"29/04/2021",2,"coreradius2",285,368
"29/04/2021",1,"diamsp03",295,392
"29/04/2021",2,"coreradius1",349,443
"29/04/2021",1,"coreradius2",369,468
"29/04/2021",1,"coreradius3",370,467
"29/04/2021",1,"radiusbr04",375,419
"29/04/2021",2,"coreserv2",377,456
"29/04/2021",2,"radiusbr05",416,471
"29/04/2021",2,"diamsp01",417,576
"29/04/2021",1,"radiusbr03",446,500
"29/04/2021",1,"corediam1",458,495
"29/04/2021",2,"corework1",539,712
"29/04/2021",2,"coreradius5",539,694
"29/04/2021",2,"corediam1",543,585
"29/04/2021",2,"corework2",553,751
"29/04/2021",1,"coreradius4",564,716
"29/04/2021",1,"diamsp01",592,788
"29/04/2021",2,"coreserv1",655,804
"29/04/2021",1,"corework1",674,7618
"29/04/2021",2,"diamsp03",687,948
"29/04/2021",2,"diamsp11",697,962
"29/04/2021",2,"corediam4",711,767
"29/04/2021",2,"corediam11",713,765
"29/04/2021",2,"corediam5",740,795
"29/04/2021",1,"corediam3",764,827
"29/04/2021",1,"corediam13",817,884
"29/04/2021",1,"diamsp12",818,1087
"29/04/2021",1,"corediam12",825,892
"29/04/2021",1,"diamsp13",899,1197
"29/04/2021",2,"corediam14",913,980
"29/04/2021",2,"corediam15",938,1015
"29/04/2021",2,"corediam16",958,1036
"29/04/2021",1,"corework2",1044,13419
"29/04/2021",1,"diamsp02",1054,1400
"29/04/2021",1,"corediam2",1058,1156
"29/04/2021",1,"corediam6",1059,1152
"29/04/2021",1,"coresup2dbadm01.om.dsn.inet",1742,2375
"29/04/2021",2,"coresup2dbadm02.om.dsn.inet",2163,2784
"30/04/2021",2,"portalapi1",3,3
"30/04/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"30/04/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"30/04/2021",2,"coresup2dbadm01.om.dsn.inet",8,51
"30/04/2021",1,"portalweb2",10,15
"30/04/2021",2,"portalweb2",15,21
"30/04/2021",1,"radiusbr05",17,20
"30/04/2021",1,"corediam16",18,19
"30/04/2021",2,"portalapi2",21,23
"30/04/2021",2,"portalweb1",25,36
"30/04/2021",1,"coresupoem",27,33
"30/04/2021",2,"opsm2m11.ah-internode.dsn.inet",27,32
"30/04/2021",1,"portalweb1",27,34
"30/04/2021",2,"coresupoem",27,30
"30/04/2021",1,"portalapi2",28,31
"30/04/2021",1,"coreevents2",31,36
"30/04/2021",1,"opsm2m11.ah-internode.dsn.inet",31,36
"30/04/2021",1,"smshr2",41,56
"30/04/2021",1,"corediam15",42,47
"30/04/2021",1,"corerec5",46,54
"30/04/2021",1,"portalapi1",46,51
"30/04/2021",2,"diamsp13",56,70
"30/04/2021",2,"confluence1",57,63
"30/04/2021",2,"corerec3",58,67
"30/04/2021",1,"corerec1",61,69
"30/04/2021",2,"diamsp12",62,85
"30/04/2021",1,"smshr1",62,84
"30/04/2021",2,"corerec4",65,76
"30/04/2021",1,"corediam14",67,74
"30/04/2021",1,"confluence1",72,81
"30/04/2021",1,"opsm2m",74,90
"30/04/2021",1,"corerec2",91,113
"30/04/2021",1,"corerec4",94,114
"30/04/2021",2,"corerec2",95,112
"30/04/2021",2,"coreradius4",98,125
"30/04/2021",2,"smshr1",101,118
"30/04/2021",2,"corerec1",102,120
"30/04/2021",2,"coreradius3",103,131
"30/04/2021",2,"corerec5",111,133
"30/04/2021",2,"smshr2",113,137
"30/04/2021",1,"corerec3",119,140
"30/04/2021",2,"coreevents2",126,138
"30/04/2021",2,"radiusbr04",134,165
"30/04/2021",1,"PC-519403",149,162
"30/04/2021",2,"coreevents1",153,167
"30/04/2021",2,"radiusbr01",206,254
"30/04/2021",1,"radiusbr02",217,262
"30/04/2021",2,"corediam13",219,240
"30/04/2021",1,"coreradius1",221,274
"30/04/2021",2,"radiusbr02",258,319
"30/04/2021",1,"radiusbr01",274,333
"30/04/2021",2,"coreradius2",307,391
"30/04/2021",1,"corediam5",316,344
"30/04/2021",1,"coreserv1",318,374
"30/04/2021",1,"diamsp03",324,435
"30/04/2021",1,"coreserv2",360,413
"30/04/2021",2,"coreradius1",369,464
"30/04/2021",1,"coreradius2",395,495
"30/04/2021",1,"radiusbr04",407,496
"30/04/2021",2,"coreserv3",424,516
"30/04/2021",1,"coreserv3",424,487
"30/04/2021",2,"corediam12",438,479
"30/04/2021",2,"corework3",450,624
"30/04/2021",1,"coreradius3",456,569
"30/04/2021",2,"corediam2",456,489
"30/04/2021",2,"coreserv1",465,571
"30/04/2021",2,"corediam1",474,507
"30/04/2021",2,"corediam4",477,512
"30/04/2021",2,"diamsp01",477,661
"30/04/2021",2,"radiusbr05",478,592
"30/04/2021",1,"radiusbr03",486,590
"30/04/2021",2,"coreserv2",496,589
"30/04/2021",1,"diamsp01",510,682
"30/04/2021",1,"corediam4",516,557
"30/04/2021",1,"corediam1",527,569
"30/04/2021",1,"corediam2",543,588
"30/04/2021",1,"corediam12",550,601
"30/04/2021",2,"coreradius5",581,737
"30/04/2021",2,"corework1",590,813
"30/04/2021",2,"corework2",602,835
"30/04/2021",1,"coreradius4",605,759
"30/04/2021",2,"diamsp03",640,885
"30/04/2021",2,"corediam5",656,704
"30/04/2021",1,"corework3",689,4207
"30/04/2021",1,"corediam13",823,899
"30/04/2021",2,"corediam14",906,994
"30/04/2021",2,"corediam15",927,1020
"30/04/2021",2,"diamsp11",927,1281
"30/04/2021",2,"corediam11",928,999
"30/04/2021",2,"corediam16",951,1047
"30/04/2021",1,"diamsp12",978,1300
"30/04/2021",1,"diamsp13",983,1291
"30/04/2021",1,"corework1",985,9931
"30/04/2021",1,"corediam6",1046,1141
"30/04/2021",1,"diamsp02",1049,1402
"30/04/2021",1,"corediam3",1052,1139
"30/04/2021",1,"coresup2dbadm01.om.dsn.inet",1749,2390
"30/04/2021",2,"coresup2dbadm02.om.dsn.inet",2060,2701
"30/04/2021",1,"corework2",2208,6038
"01/05/2021",2,"portalapi1",3,3
"01/05/2021",2,"coresup1dbadm01.om.dsn.inet",4,5
"01/05/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"01/05/2021",2,"coresup2dbadm01.om.dsn.inet",5,48
"01/05/2021",1,"PC-519403",7,10
"01/05/2021",2,"coresupoem",14,16
"01/05/2021",2,"diamsp02",19,26
"01/05/2021",2,"portalapi2",21,23
"01/05/2021",2,"portalweb2",26,41
"01/05/2021",1,"radiusbr05",27,30
"01/05/2021",2,"opsm2m11.ah-internode.dsn.inet",27,32
"01/05/2021",1,"portalapi2",28,31
"01/05/2021",2,"radiusbr03",29,33
"01/05/2021",1,"coreevents2",31,37
"01/05/2021",1,"opsm2m11.ah-internode.dsn.inet",31,37
"01/05/2021",2,"corediam3",35,37
"01/05/2021",2,"portalweb1",38,53
"01/05/2021",1,"smshr2",41,56
"01/05/2021",1,"portalapi1",46,51
"01/05/2021",2,"confluence1",52,58
"01/05/2021",2,"corediam6",54,58
"01/05/2021",1,"smshr1",62,83
"01/05/2021",2,"corerec3",66,85
"01/05/2021",1,"coresupoem",75,84
"01/05/2021",1,"confluence1",77,85
"01/05/2021",1,"corerec5",80,112
"01/05/2021",1,"coreserv1",84,103
"01/05/2021",2,"diamsp13",87,119
"01/05/2021",1,"corerec1",87,105
"01/05/2021",2,"corerec4",88,110
"01/05/2021",2,"smshr1",101,118
"01/05/2021",2,"corerec1",106,136
"01/05/2021",2,"diamsp12",109,150
"01/05/2021",2,"coreradius4",111,136
"01/05/2021",2,"corerec2",111,143
"01/05/2021",2,"smshr2",114,141
"01/05/2021",2,"coreradius3",118,144
"01/05/2021",1,"corerec4",124,155
"01/05/2021",2,"coreevents2",127,140
"01/05/2021",1,"corerec2",129,170
"01/05/2021",2,"corerec5",137,174
"01/05/2021",1,"portalweb2",138,189
"01/05/2021",1,"diamsp11",140,191
"01/05/2021",1,"coreradius5",142,171
"01/05/2021",1,"portalweb1",142,195
"01/05/2021",1,"corerec3",152,200
"01/05/2021",2,"coreevents1",154,170
"01/05/2021",2,"radiusbr04",158,186
"01/05/2021",1,"corediam16",168,185
"01/05/2021",2,"radiusbr01",238,285
"01/05/2021",1,"corediam11",243,267
"01/05/2021",1,"radiusbr02",254,294
"01/05/2021",2,"radiusbr02",299,353
"01/05/2021",2,"coreserv2",303,354
"01/05/2021",1,"radiusbr01",317,367
"01/05/2021",2,"coreserv3",318,401
"01/05/2021",2,"coreradius2",351,432
"01/05/2021",2,"corediam12",353,384
"01/05/2021",1,"coreradius1",366,443
"01/05/2021",1,"diamsp03",367,492
"01/05/2021",1,"corediam5",371,407
"01/05/2021",2,"corediam15",389,425
"01/05/2021",2,"corediam13",399,442
"01/05/2021",2,"coreradius1",421,517
"01/05/2021",1,"coreradius2",464,565
"01/05/2021",2,"corediam14",465,507
"01/05/2021",1,"radiusbr04",468,540
"01/05/2021",2,"corediam2",468,512
"01/05/2021",2,"corediam1",469,512
"01/05/2021",2,"diamsp01",471,646
"01/05/2021",1,"coreserv3",476,555
"01/05/2021",2,"corediam4",478,524
"01/05/2021",2,"corework3",511,768
"01/05/2021",1,"corediam4",535,589
"01/05/2021",1,"diamsp01",544,726
"01/05/2021",1,"corediam1",545,600
"01/05/2021",1,"corediam2",545,598
"01/05/2021",1,"corediam14",548,599
"01/05/2021",1,"radiusbr03",557,640
"01/05/2021",2,"radiusbr05",561,665
"01/05/2021",1,"corework1",576,4642
"01/05/2021",1,"corediam13",622,683
"01/05/2021",2,"corediam5",626,683
"01/05/2021",1,"coreserv2",628,723
"01/05/2021",2,"diamsp03",630,863
"01/05/2021",1,"corediam15",633,693
"01/05/2021",1,"corework2",648,4606
"01/05/2021",1,"coreradius3",662,810
"01/05/2021",2,"coreradius5",666,819
"01/05/2021",1,"corediam12",672,733
"01/05/2021",2,"coreserv1",699,838
"01/05/2021",1,"coreradius4",726,880
"01/05/2021",2,"corework1",727,5934
"01/05/2021",2,"corediam11",743,814
"01/05/2021",2,"corediam16",809,887
"01/05/2021",2,"diamsp11",838,1149
"01/05/2021",2,"corework2",907,4900
"01/05/2021",1,"diamsp12",944,1261
"01/05/2021",1,"diamsp13",970,1295
"01/05/2021",1,"corediam6",1002,1097
"01/05/2021",1,"corediam3",1022,1122
"01/05/2021",1,"diamsp02",1045,1394
"01/05/2021",1,"coresup2dbadm01.om.dsn.inet",1425,1875
"01/05/2021",2,"coresup2dbadm02.om.dsn.inet",1581,2051
"01/05/2021",1,"corework3",2117,5107
"02/05/2021",2,"portalapi1",3,3
"02/05/2021",2,"coresup1dbadm01.om.dsn.inet",3,4
"02/05/2021",2,"coresup2dbadm01.om.dsn.inet",5,87
"02/05/2021",2,"coresup1dbadm02.om.dsn.inet",5,6
"02/05/2021",2,"coresupoem",14,16
"02/05/2021",2,"diamsp02",19,26
"02/05/2021",2,"portalapi2",21,23
"02/05/2021",2,"opsm2m11.ah-internode.dsn.inet",27,33
"02/05/2021",1,"radiusbr05",27,32
"02/05/2021",1,"coresupoem",27,33
"02/05/2021",2,"portalweb2",27,45
"02/05/2021",1,"portalapi2",28,31
"02/05/2021",1,"coreevents2",31,40
"02/05/2021",1,"opsm2m11.ah-internode.dsn.inet",31,38
"02/05/2021",2,"corediam3",35,38
"02/05/2021",2,"portalweb1",40,56
"02/05/2021",1,"smshr2",41,56
"02/05/2021",1,"portalapi1",46,51
"02/05/2021",2,"confluence1",54,60
"02/05/2021",2,"corediam6",54,59
"02/05/2021",1,"coreserv1",55,69
"02/05/2021",2,"radiusbr03",60,72
"02/05/2021",1,"smshr1",62,84
"02/05/2021",1,"confluence1",74,82
"02/05/2021",1,"corerec5",81,121
"02/05/2021",1,"corerec1",88,109
"02/05/2021",2,"diamsp13",89,124
"02/05/2021",2,"corerec3",91,118
"02/05/2021",2,"corerec4",95,127
"02/05/2021",2,"smshr1",101,119
"02/05/2021",2,"diamsp12",109,150
"02/05/2021",2,"coreradius4",112,137
"02/05/2021",2,"smshr2",114,142
"02/05/2021",2,"coreradius3",118,145
"02/05/2021",2,"corerec2",121,158
"02/05/2021",1,"corerec4",125,164
"02/05/2021",2,"coreevents2",127,145
"02/05/2021",1,"corerec2",130,186
"02/05/2021",2,"corerec1",133,183
"02/05/2021",1,"diamsp11",141,191
"02/05/2021",1,"portalweb2",142,197
"02/05/2021",2,"corerec5",142,189
"02/05/2021",1,"coreradius5",144,175
"02/05/2021",1,"portalweb1",146,197
"02/05/2021",1,"corerec3",153,208
"02/05/2021",2,"coreevents1",154,173
"02/05/2021",2,"radiusbr04",159,193
"02/05/2021",1,"corediam16",168,187
