"INST_ID","BEGIN_SNAP","Event","Time"
1,"27/10/2020 18:00","enq: TX - row lock contention",428.31
1,"27/10/2020 19:00","DB CPU",55098.7
1,"27/10/2020 19:00","log file sync",10860.85
1,"27/10/2020 19:00","enq: TX - row lock contention",2271.08
1,"27/10/2020 19:00","gc cr block 2-way",1885.07
1,"27/10/2020 19:00","gc current block busy",893.18
1,"27/10/2020 20:00","DB CPU",57514.32
1,"27/10/2020 20:00","log file sync",12755.97
1,"27/10/2020 20:00","gc cr block 2-way",2067.53
1,"27/10/2020 20:00","enq: TX - row lock contention",1156.7
1,"27/10/2020 20:00","gc current block busy",911.2
1,"27/10/2020 21:00","DB CPU",56838.04
1,"27/10/2020 21:00","log file sync",10428.9
1,"27/10/2020 21:00","enq: TX - row lock contention",1980.9
1,"27/10/2020 21:00","gc cr block 2-way",1792.76
1,"27/10/2020 21:00","gc current block busy",815.61
1,"27/10/2020 22:00","DB CPU",51432.13
1,"27/10/2020 22:00","log file sync",8721.91
1,"27/10/2020 22:00","gc cr block 2-way",1523.64
1,"27/10/2020 22:00","enq: TX - row lock contention",1161.59
1,"27/10/2020 22:00","gc current block busy",692.33
1,"27/10/2020 23:00","DB CPU",58807.22
1,"27/10/2020 23:00","log file sync",9082.08
1,"27/10/2020 23:00","gc cr block 2-way",1529.62
1,"27/10/2020 23:00","gc current block busy",720.09
1,"27/10/2020 23:00","enq: TX - row lock contention",540.23
1,"28/10/2020 00:00","DB CPU",53761.57
1,"28/10/2020 00:00","log file sync",7875.16
1,"28/10/2020 00:00","gc cr block 2-way",1384.6
1,"28/10/2020 00:00","gc current block busy",630.13
1,"28/10/2020 00:00","enq: TX - row lock contention",401.51
1,"28/10/2020 01:00","DB CPU",62722.11
1,"28/10/2020 01:00","log file sync",10401.22
1,"28/10/2020 01:00","gc cr block 2-way",1571.97
1,"28/10/2020 01:00","gc current block busy",786.55
1,"28/10/2020 01:00","enq: TX - row lock contention",610.97
1,"28/10/2020 02:00","DB CPU",49282.26
1,"28/10/2020 02:00","log file sync",8107.69
1,"28/10/2020 02:00","gc cr block 2-way",1466.97
1,"28/10/2020 02:00","gc current block busy",681.4
1,"28/10/2020 02:00","enq: TX - row lock contention",328.81
1,"28/10/2020 03:00","DB CPU",38905.03
1,"28/10/2020 03:00","log file sync",6582.24
1,"28/10/2020 03:00","gc cr block 2-way",1181.35
1,"28/10/2020 03:00","gc current block busy",534.64
1,"28/10/2020 03:00","enq: TX - row lock contention",313.18
1,"28/10/2020 04:00","DB CPU",43629.42
1,"28/10/2020 04:00","log file sync",7161.66
1,"28/10/2020 04:00","gc cr block 2-way",1267.59
1,"28/10/2020 04:00","gc current block busy",588.23
1,"28/10/2020 04:00","enq: TX - row lock contention",289.01
1,"28/10/2020 05:00","DB CPU",37786.59
1,"28/10/2020 05:00","log file sync",6312.48
1,"28/10/2020 05:00","gc cr block 2-way",1165.34
1,"28/10/2020 05:00","gc current block busy",534.32
1,"28/10/2020 05:00","enq: TX - row lock contention",189.82
1,"28/10/2020 06:00","DB CPU",32954.89
1,"28/10/2020 06:00","log file sync",6014.25
1,"28/10/2020 06:00","gc cr block 2-way",1163.72
1,"28/10/2020 06:00","enq: TX - row lock contention",840.88
1,"28/10/2020 06:00","gc current block busy",531.92
1,"28/10/2020 07:00","DB CPU",39648.33
1,"28/10/2020 07:00","log file sync",6179.03
1,"28/10/2020 07:00","gc cr block 2-way",1206.76
1,"28/10/2020 07:00","gc current block busy",534.85
1,"28/10/2020 07:00","enq: TX - row lock contention",338.41
1,"28/10/2020 08:00","DB CPU",40809.72
1,"28/10/2020 08:00","log file sync",5965.17
1,"28/10/2020 08:00","gc cr block 2-way",1193.29
1,"28/10/2020 08:00","gc current block busy",478.9
1,"28/10/2020 08:00","enq: TX - row lock contention",420.4
1,"28/10/2020 09:00","DB CPU",41994.2
1,"28/10/2020 09:00","log file sync",6156.88
1,"28/10/2020 09:00","gc cr block 2-way",1185.33
1,"28/10/2020 09:00","gc current block busy",483.5
1,"28/10/2020 09:00","enq: TX - row lock contention",177.63
1,"28/10/2020 10:00","DB CPU",36633.91
1,"28/10/2020 10:00","log file sync",5380.86
1,"28/10/2020 10:00","gc cr block 2-way",1127.86
1,"28/10/2020 10:00","gc current block busy",444.32
1,"28/10/2020 10:00","enq: TX - row lock contention",192.99
1,"28/10/2020 11:00","DB CPU",40994.76
1,"28/10/2020 11:00","log file sync",5637.51
1,"28/10/2020 11:00","gc cr block 2-way",1183.91
1,"28/10/2020 11:00","gc current block busy",452.4
1,"28/10/2020 11:00","enq: TX - row lock contention",316.65
1,"28/10/2020 12:00","DB CPU",117421.96
1,"28/10/2020 12:00","log file sync",26659.71
1,"28/10/2020 12:00","gc cr block 2-way",3135
1,"28/10/2020 12:00","gc current block busy",1494.83
1,"28/10/2020 12:00","enq: TX - row lock contention",534.73
1,"28/10/2020 13:00","DB CPU",121322.28
1,"28/10/2020 13:00","log file sync",38867.91
1,"28/10/2020 13:00","gc cr block 2-way",4338.97
1,"28/10/2020 13:00","enq: TX - row lock contention",2776.75
1,"28/10/2020 13:00","gc current block busy",2366.52
1,"28/10/2020 14:00","DB CPU",118335.64
1,"28/10/2020 14:00","log file sync",40688.63
1,"28/10/2020 14:00","gc cr block 2-way",5122.5
1,"28/10/2020 14:00","gc current block busy",3368.91
1,"28/10/2020 14:00","enq: TX - row lock contention",2905.01
1,"28/10/2020 15:00","DB CPU",127767.01
1,"28/10/2020 15:00","log file sync",64034.4
1,"28/10/2020 15:00","gc cr block 2-way",7594.03
1,"28/10/2020 15:00","enq: TX - row lock contention",5150.73
1,"28/10/2020 15:00","gc current block busy",3943.56
1,"28/10/2020 16:00","DB CPU",125479.31
1,"28/10/2020 16:00","log file sync",77714.07
1,"28/10/2020 16:00","gc cr block 2-way",7924.8
1,"28/10/2020 16:00","gc current block busy",4597.54
1,"28/10/2020 16:00","enq: TX - row lock contention",4072.29
1,"28/10/2020 17:00","DB CPU",122748.34
1,"28/10/2020 17:00","log file sync",100090.87
1,"28/10/2020 17:00","gc cr block 2-way",9345.79
1,"28/10/2020 17:00","gc current block busy",6835.17
1,"28/10/2020 17:00","enq: TX - row lock contention",5363.08
1,"28/10/2020 18:00","log file sync",81775.67
1,"28/10/2020 18:00","DB CPU",69429.44
1,"28/10/2020 18:00","gc cr block 2-way",8533.86
1,"28/10/2020 18:00","gc current block busy",7392.07
1,"28/10/2020 18:00","enq: TX - row lock contention",688.82
1,"28/10/2020 18:33","log file sync",7531.22
1,"28/10/2020 18:33","DB CPU",5022.39
1,"28/10/2020 18:33","gc cr block 2-way",930.37
1,"28/10/2020 18:33","gc current block busy",634.67
1,"28/10/2020 18:33","enq: TX - row lock contention",43.03
1,"28/10/2020 18:36","DB CPU",169553.73
1,"28/10/2020 18:36","log file sync",123862.63
1,"28/10/2020 18:36","gc cr block 2-way",16981.1
1,"28/10/2020 18:36","gc current block busy",8706.91
1,"28/10/2020 18:36","enq: TX - row lock contention",1921.74
1,"28/10/2020 20:00","DB CPU",117131.74
1,"28/10/2020 20:00","log file sync",48595.82
1,"28/10/2020 20:00","gc cr block 2-way",5247.2
1,"28/10/2020 20:00","gc current block busy",2735.75
1,"28/10/2020 20:00","enq: TX - row lock contention",816.08
1,"28/10/2020 21:00","DB CPU",87862.12
1,"28/10/2020 21:00","log file sync",31407.25
1,"28/10/2020 21:00","gc cr block 2-way",3348.02
1,"28/10/2020 21:00","gc current block busy",1902.18
1,"28/10/2020 21:00","enq: TX - row lock contention",840.04
1,"28/10/2020 22:00","DB CPU",55888
1,"28/10/2020 22:00","log file sync",13717.34
1,"28/10/2020 22:00","gc cr block 2-way",2246.72
1,"28/10/2020 22:00","gc current block busy",1258.76
1,"28/10/2020 22:00","enq: TX - row lock contention",349.1
1,"28/10/2020 23:00","DB CPU",63384.6
1,"28/10/2020 23:00","log file sync",13394.45
1,"28/10/2020 23:00","gc cr block 2-way",2052.96
1,"28/10/2020 23:00","gc current block busy",1276.47
1,"28/10/2020 23:00","enq: TX - row lock contention",505.97
1,"29/10/2020 00:00","DB CPU",55338.85
1,"29/10/2020 00:00","log file sync",11122.87
1,"29/10/2020 00:00","gc cr block 2-way",1757.89
1,"29/10/2020 00:00","gc current block busy",1123.12
1,"29/10/2020 00:00","enq: TX - row lock contention",386.28
1,"29/10/2020 01:00","DB CPU",66254.58
1,"29/10/2020 01:00","log file sync",20168.8
1,"29/10/2020 01:00","gc cr block 2-way",2402.04
1,"29/10/2020 01:00","gc current block busy",1536.65
1,"29/10/2020 01:00","enq: TX - row lock contention",436.88
1,"29/10/2020 02:00","DB CPU",53355.79
1,"29/10/2020 02:00","log file sync",15142.76
1,"29/10/2020 02:00","gc cr block 2-way",2040.7
1,"29/10/2020 02:00","gc current block busy",1310.68
1,"29/10/2020 02:00","enq: TX - row lock contention",311.45
1,"29/10/2020 03:00","DB CPU",47135.3
1,"29/10/2020 03:00","log file sync",9889.99
1,"29/10/2020 03:00","gc cr block 2-way",1520.53
1,"29/10/2020 03:00","gc current block busy",948.9
1,"29/10/2020 03:00","enq: TX - row lock contention",307.38
1,"29/10/2020 04:00","DB CPU",46862.98
1,"29/10/2020 04:00","log file sync",8996.16
1,"29/10/2020 04:00","gc cr block 2-way",1296.54
1,"29/10/2020 04:00","gc current block busy",1114.68
1,"29/10/2020 04:00","enq: TX - row lock contention",255.09
1,"29/10/2020 05:00","DB CPU",47849.3
1,"29/10/2020 05:00","log file sync",8813.47
1,"29/10/2020 05:00","gc cr block 2-way",1699.26
1,"29/10/2020 05:00","gc current block busy",1051.66
1,"29/10/2020 05:00","enq: TX - row lock contention",276.78
1,"29/10/2020 06:00","DB CPU",39408.25
1,"29/10/2020 06:00","log file sync",8212.15
1,"29/10/2020 06:00","gc cr block 2-way",1493.66
1,"29/10/2020 06:00","gc current block busy",903.7
1,"29/10/2020 06:00","enq: TX - row lock contention",177.91
1,"29/10/2020 07:00","DB CPU",43996.57
1,"29/10/2020 07:00","log file sync",15727.71
1,"29/10/2020 07:00","gc cr block 2-way",1440.49
1,"29/10/2020 07:00","gc current block busy",883.93
1,"29/10/2020 07:00","enq: TX - row lock contention",411.61
1,"29/10/2020 08:00","DB CPU",44646.31
1,"29/10/2020 08:00","log file sync",7931.53
1,"29/10/2020 08:00","gc cr block 2-way",1746.27
1,"29/10/2020 08:00","gc current block busy",1024.98
1,"29/10/2020 08:00","enq: TX - row lock contention",180.36
1,"29/10/2020 09:00","DB CPU",42963.16
1,"29/10/2020 09:00","log file sync",6114.89
1,"29/10/2020 09:00","gc cr block 2-way",1433.33
1,"29/10/2020 09:00","gc current block busy",744.83
1,"29/10/2020 09:00","enq: TX - row lock contention",152.07
1,"29/10/2020 10:00","DB CPU",46241.98
1,"29/10/2020 10:00","log file sync",4529.29
1,"29/10/2020 10:00","gc cr block 2-way",1335.73
1,"29/10/2020 10:00","gc current block busy",665.51
1,"29/10/2020 10:00","enq: TX - row lock contention",68.84
1,"29/10/2020 11:00","DB CPU",46782.05
1,"29/10/2020 11:00","log file sync",4346.33
1,"29/10/2020 11:00","gc cr block 2-way",1419.93
1,"29/10/2020 11:00","gc current block busy",749.62
1,"29/10/2020 11:00","enq: TX - row lock contention",113.27
1,"29/10/2020 12:00","DB CPU",38187.08
1,"29/10/2020 12:00","log file sync",4920
1,"29/10/2020 12:00","gc cr block 2-way",1494.67
1,"29/10/2020 12:00","gc current block busy",779.65
1,"29/10/2020 12:00","enq: TX - row lock contention",173.67
1,"29/10/2020 13:00","DB CPU",45334.85
1,"29/10/2020 13:00","log file sync",5237.98
1,"29/10/2020 13:00","gc cr block 2-way",1568.25
1,"29/10/2020 13:00","enq: TX - row lock contention",1162.13
1,"29/10/2020 13:00","gc current block busy",797.31
1,"29/10/2020 14:00","DB CPU",47183.46
1,"29/10/2020 14:00","log file sync",5396.15
1,"29/10/2020 14:00","enq: TX - row lock contention",5233.68
1,"29/10/2020 14:00","gc cr block 2-way",1662.08
1,"29/10/2020 14:00","gc current block busy",863.6
1,"29/10/2020 15:00","DB CPU",52758.6
1,"29/10/2020 15:00","enq: TX - row lock contention",6774.25
1,"29/10/2020 15:00","log file sync",6226.9
1,"29/10/2020 15:00","gc cr block 2-way",1933.22
1,"29/10/2020 15:00","gc current block busy",1016.56
1,"29/10/2020 16:00","DB CPU",49756.32
1,"29/10/2020 16:00","log file sync",6816.27
1,"29/10/2020 16:00","enq: TX - row lock contention",5453.51
1,"29/10/2020 16:00","gc cr block 2-way",1882.86
1,"29/10/2020 16:00","gc current block busy",997.75
1,"29/10/2020 17:00","DB CPU",47822.33
1,"29/10/2020 17:00","log file sync",6261.51
1,"29/10/2020 17:00","gc cr block 2-way",1873.67
1,"29/10/2020 17:00","gc current block busy",966.19
1,"29/10/2020 17:00","enq: TX - row lock contention",269.64
1,"29/10/2020 18:00","DB CPU",50433.76
1,"29/10/2020 18:00","log file sync",6481.71
1,"29/10/2020 18:00","gc cr block 2-way",1938.85
1,"29/10/2020 18:00","gc current block busy",1022.11
1,"29/10/2020 18:00","enq: TX - row lock contention",288.83
1,"29/10/2020 19:00","DB CPU",53359.21
1,"29/10/2020 19:00","log file sync",6529.58
1,"29/10/2020 19:00","gc cr block 2-way",1934.42
1,"29/10/2020 19:00","gc current block busy",1023.84
1,"29/10/2020 19:00","enq: TX - row lock contention",318.85
1,"29/10/2020 20:00","DB CPU",50398.76
1,"29/10/2020 20:00","log file sync",6601.6
1,"29/10/2020 20:00","gc cr block 2-way",1827.27
1,"29/10/2020 20:00","enq: TX - row lock contention",1481.7
1,"29/10/2020 20:00","gc current block busy",980.38
1,"29/10/2020 21:00","DB CPU",49676.6
1,"29/10/2020 21:00","log file sync",6057.87
1,"29/10/2020 21:00","enq: TX - row lock contention",5649.25
1,"29/10/2020 21:00","gc cr block 2-way",1930.76
1,"29/10/2020 21:00","gc current block busy",1043.22
1,"29/10/2020 22:00","DB CPU",50150.09
1,"29/10/2020 22:00","log file sync",5857.32
1,"29/10/2020 22:00","enq: TX - row lock contention",3758.23
1,"29/10/2020 22:00","gc cr block 2-way",2051.23
1,"29/10/2020 22:00","gc current block busy",1127.01
1,"29/10/2020 23:00","DB CPU",60714.17
1,"29/10/2020 23:00","log file sync",6375.03
1,"29/10/2020 23:00","enq: TX - row lock contention",2998.83
1,"29/10/2020 23:00","gc cr block 2-way",1891.86
1,"29/10/2020 23:00","gc current block busy",1005.7
1,"30/10/2020 00:00","DB CPU",56216.97
1,"30/10/2020 00:00","log file sync",5989.96
1,"30/10/2020 00:00","gc cr block 2-way",1950.68
1,"30/10/2020 00:00","gc current block busy",876.97
1,"30/10/2020 00:00","enq: TX - row lock contention",119.54
1,"30/10/2020 01:00","DB CPU",69466.06
1,"30/10/2020 01:00","log file sync",8676.47
1,"30/10/2020 01:00","gc cr block 2-way",2371.58
1,"30/10/2020 01:00","gc current block busy",1111.17
1,"30/10/2020 01:00","enq: TX - row lock contention",177.25
1,"30/10/2020 02:00","DB CPU",51875.94
1,"30/10/2020 02:00","log file sync",5943.59
1,"30/10/2020 02:00","gc cr block 2-way",1966.89
1,"30/10/2020 02:00","gc current block busy",890.96
1,"30/10/2020 02:00","enq: TX - row lock contention",188.92
1,"30/10/2020 03:00","DB CPU",44557.93
1,"30/10/2020 03:00","log file sync",4445.22
1,"30/10/2020 03:00","gc cr block 2-way",1719.33
1,"30/10/2020 03:00","gc current block busy",763.25
1,"30/10/2020 03:00","enq: TX - row lock contention",89.06
1,"30/10/2020 04:00","DB CPU",46757.44
1,"30/10/2020 04:00","log file sync",4863.61
1,"30/10/2020 04:00","gc cr block 2-way",1603.9
1,"30/10/2020 04:00","gc current block busy",673.5
1,"30/10/2020 04:00","enq: TX - row lock contention",108.2
1,"30/10/2020 05:00","DB CPU",50268.38
1,"30/10/2020 05:00","log file sync",4734.4
1,"30/10/2020 05:00","gc cr block 2-way",1518.39
1,"30/10/2020 05:00","gc current block busy",621.06
1,"30/10/2020 05:00","enq: TX - row lock contention",205.47
1,"30/10/2020 06:00","DB CPU",43470.92
1,"30/10/2020 06:00","log file sync",4294.47
