"INSTANCE_NUMBER","PROCESS","TIME"
2,4354,"13/04/2021 23:00"
1,4500,"13/04/2021 23:00"
2,4390,"14/04/2021 00:00"
1,4516,"14/04/2021 00:00"
2,4393,"14/04/2021 01:00"
1,4521,"14/04/2021 01:00"
2,4386,"14/04/2021 02:00"
1,4521,"14/04/2021 02:00"
1,4525,"14/04/2021 03:00"
2,4387,"14/04/2021 03:00"
2,4395,"14/04/2021 04:00"
1,4523,"14/04/2021 04:00"
2,4407,"14/04/2021 05:00"
1,4516,"14/04/2021 05:00"
1,4516,"14/04/2021 06:00"
2,4394,"14/04/2021 06:00"
2,4416,"14/04/2021 07:00"
1,4538,"14/04/2021 07:00"
2,4477,"14/04/2021 08:00"
1,4522,"14/04/2021 08:00"
2,4751,"14/04/2021 09:00"
1,4517,"14/04/2021 09:00"
2,4804,"14/04/2021 10:00"
1,4755,"14/04/2021 10:00"
2,4976,"14/04/2021 11:00"
1,4757,"14/04/2021 11:00"
2,4643,"14/04/2021 12:00"
1,4753,"14/04/2021 12:00"
1,4579,"14/04/2021 13:00"
2,4524,"14/04/2021 13:00"
2,4832,"14/04/2021 14:00"
1,4707,"14/04/2021 14:00"
2,4834,"14/04/2021 15:00"
1,4732,"14/04/2021 15:00"
1,4617,"14/04/2021 16:00"
2,4755,"14/04/2021 16:00"
2,4576,"14/04/2021 17:00"
1,4672,"14/04/2021 17:00"
2,4395,"14/04/2021 18:00"
1,4675,"14/04/2021 18:00"
1,4687,"14/04/2021 19:00"
2,4396,"14/04/2021 19:00"
2,4392,"14/04/2021 20:00"
1,4675,"14/04/2021 20:00"
1,4687,"14/04/2021 21:00"
2,4415,"14/04/2021 21:00"
1,4678,"14/04/2021 22:00"
2,4455,"14/04/2021 22:00"
2,4436,"14/04/2021 23:00"
1,4672,"14/04/2021 23:00"
1,4692,"15/04/2021 00:00"
2,4439,"15/04/2021 00:00"
1,4686,"15/04/2021 01:00"
2,4439,"15/04/2021 01:00"
1,4686,"15/04/2021 02:00"
2,4427,"15/04/2021 02:00"
2,4434,"15/04/2021 03:00"
1,4687,"15/04/2021 03:00"
1,4703,"15/04/2021 04:00"
2,4448,"15/04/2021 04:00"
1,4716,"15/04/2021 05:00"
2,4459,"15/04/2021 05:00"
2,4446,"15/04/2021 06:00"
1,4720,"15/04/2021 06:00"
1,4662,"15/04/2021 07:00"
2,4374,"15/04/2021 07:00"
2,4248,"15/04/2021 08:00"
1,4562,"15/04/2021 08:00"
2,4324,"15/04/2021 09:00"
1,4569,"15/04/2021 09:00"
2,4412,"15/04/2021 10:00"
1,4614,"15/04/2021 10:00"
2,4408,"15/04/2021 11:00"
1,4639,"15/04/2021 11:00"
2,4409,"15/04/2021 12:00"
1,4625,"15/04/2021 12:00"
2,4415,"15/04/2021 13:00"
1,4649,"15/04/2021 13:00"
2,4438,"15/04/2021 14:00"
1,4666,"15/04/2021 14:00"
2,4436,"15/04/2021 15:00"
1,4676,"15/04/2021 15:00"
2,4432,"15/04/2021 16:00"
1,4675,"15/04/2021 16:00"
2,4466,"15/04/2021 17:00"
1,4696,"15/04/2021 17:00"
2,4374,"15/04/2021 18:00"
1,4668,"15/04/2021 18:00"
