INSTANCE,SYSDATE,VALUE
1,12-01-22 20:00,35485
1,12-01-22 20:30,35093
1,12-01-22 21:00,35018
1,12-01-22 21:31,42569
1,12-01-22 22:01,58999
1,12-01-22 22:31,35054
1,12-01-22 23:01,34964
1,12-01-22 23:31,34827
1,13-01-22 00:00,35050
1,13-01-22 00:30,34744
1,13-01-22 01:00,35170
1,13-01-22 01:30,34840
1,13-01-22 02:01,48693
1,13-01-22 02:31,34989
1,13-01-22 03:01,34703
1,13-01-22 03:30,35050
1,13-01-22 04:00,34998
1,13-01-22 04:31,34883
1,13-01-22 05:01,35007
1,13-01-22 05:31,34701
1,13-01-22 06:00,35013
1,13-01-22 06:30,34977
1,13-01-22 07:00,35224
1,13-01-22 07:30,35184
1,13-01-22 08:00,35560
1,13-01-22 08:31,35406
1,13-01-22 09:01,35690
1,13-01-22 09:31,35515
1,13-01-22 10:01,35886
1,13-01-22 10:30,36592
1,13-01-22 11:00,36115
1,13-01-22 11:30,35613
1,13-01-22 12:00,37572
1,13-01-22 12:30,36454
1,13-01-22 13:00,35388
1,13-01-22 13:30,35703
1,13-01-22 14:01,35355
1,13-01-22 14:31,35746
1,13-01-22 15:01,35229
1,13-01-22 15:31,35154
1,13-01-22 16:00,35688
1,13-01-22 16:30,35346
1,13-01-22 17:00,35579
1,13-01-22 17:30,35230
1,13-01-22 18:01,34986
1,13-01-22 18:31,35169
1,13-01-22 19:00,35303
1,13-01-22 19:30,34944
1,13-01-22 20:00,35067
1,13-01-22 20:30,34985
1,13-01-22 21:01,34997
1,13-01-22 21:31,38723
1,13-01-22 22:00,48432
1,13-01-22 22:30,35078
1,13-01-22 23:01,35116
1,13-01-22 23:31,35033
1,14-01-22 00:01,34887
1,14-01-22 00:31,34765
1,14-01-22 01:00,34986
1,14-01-22 01:30,35199
1,14-01-22 02:01,49705
1,14-01-22 02:31,35035
1,14-01-22 03:01,34698
1,14-01-22 03:30,34904
1,14-01-22 04:00,34982
1,14-01-22 04:30,34966
1,14-01-22 05:01,35201
1,14-01-22 05:31,34639
1,14-01-22 06:00,34982
1,14-01-22 06:30,35012
1,14-01-22 07:00,35172
1,14-01-22 07:31,35100
1,14-01-22 08:01,35332
1,14-01-22 08:31,36277
1,14-01-22 09:01,36129
1,14-01-22 09:30,35909
1,14-01-22 10:00,36176
1,14-01-22 10:30,36357
