AWRDATE,OBJECT,VALUE,RANK
"22/09/2021 17:00","HISTO_LOCATION_09_PK","235251266",7
"22/09/2021 17:00","HISTO_GPRS_09_IDX","47872718",8
"22/09/2021 17:00","POOL_CHARGING","23235868",9
"22/09/2021 17:00","HISTO_LOCATION_09","4301053",10
"22/09/2021 18:00","SUBSCRIPTION_PRESENCE_LOCATION","8614482076",1
"22/09/2021 18:00","HISTO_GPRS_09_PK","5072777354",2
"22/09/2021 18:00","SUBSCRIPTION_CONSUMPTION","3232074038",3
"22/09/2021 18:00","SUBSCRIPTION","1340382243",4
"22/09/2021 18:00","SUBS_PRESENCE_LOCATION_01_IDX","599728037",5
"22/09/2021 18:00","HISTO_GPRS_09","296961419",6
"22/09/2021 18:00","HISTO_LOCATION_09_PK","235965467",7
"22/09/2021 18:00","HISTO_GPRS_09_IDX","47139845",8
"22/09/2021 18:00","POOL_CHARGING","23262966",9
"22/09/2021 18:00","HISTO_LOCATION_09","4872821",10
"22/09/2021 19:00","SUBSCRIPTION_PRESENCE_LOCATION","8623190194",1
"22/09/2021 19:00","HISTO_GPRS_09_PK","5085148065",2
"22/09/2021 19:00","SUBSCRIPTION_CONSUMPTION","3235091936",3
"22/09/2021 19:00","SUBSCRIPTION","1341989150",4
"22/09/2021 19:00","SUBS_PRESENCE_LOCATION_01_IDX","600300157",5
"22/09/2021 19:00","HISTO_GPRS_09","311200890",6
"22/09/2021 19:00","HISTO_LOCATION_09_PK","236687448",7
"22/09/2021 19:00","HISTO_GPRS_09_IDX","49490243",8
"22/09/2021 19:00","POOL_CHARGING","23291618",9
"22/09/2021 19:00","HISTO_LOCATION_09","2762446",10
"22/09/2021 20:00","SUBSCRIPTION_PRESENCE_LOCATION","8632381567",1
"22/09/2021 20:00","HISTO_GPRS_09_PK","5096890619",2
"22/09/2021 20:00","SUBSCRIPTION_CONSUMPTION","3238102017",3
"22/09/2021 20:00","SUBSCRIPTION","1343606245",4
"22/09/2021 20:00","SUBS_PRESENCE_LOCATION_01_IDX","600869684",5
"22/09/2021 20:00","HISTO_GPRS_09","326810038",6
"22/09/2021 20:00","HISTO_LOCATION_09_PK","237398382",7
"22/09/2021 20:00","HISTO_GPRS_09_IDX","46460004",8
"22/09/2021 20:00","POOL_CHARGING","23320140",9
"22/09/2021 20:00","SUBSCRIPTION_GSMKEYS","2926486",10
"22/09/2021 21:00","SUBSCRIPTION_PRESENCE_LOCATION","8640955194",1
"22/09/2021 21:00","HISTO_GPRS_09_PK","5108679109",2
"22/09/2021 21:00","SUBSCRIPTION_CONSUMPTION","3241085105",3
"22/09/2021 21:00","SUBSCRIPTION","1345198562",4
"22/09/2021 21:00","SUBS_PRESENCE_LOCATION_01_IDX","601435727",5
"22/09/2021 21:00","HISTO_GPRS_09","306635285",6
"22/09/2021 21:00","HISTO_LOCATION_09_PK","238122122",7
"22/09/2021 21:00","HISTO_GPRS_09_IDX","46853312",8
"22/09/2021 21:00","POOL_CHARGING","23348336",9
"22/09/2021 21:00","HISTO_LOCATION_09","3861539",10
"22/09/2021 22:00","SUBSCRIPTION_PRESENCE_LOCATION","8650138816",1
"22/09/2021 22:00","HISTO_GPRS_09_PK","5120558752",2
